"","Candidates","Voters","Simulation","Agreement"
"1",10,100,1,0.86
"2",10,100,2,0.88
"3",10,100,3,0.84
"4",10,100,4,0.89
"5",10,100,5,0.84
"6",10,100,6,0.93
"7",10,100,7,0.9
"8",10,100,8,0.94
"9",10,100,9,0.92
"10",10,100,10,0.84
"11",10,100,11,0.9
"12",10,100,12,0.92
"13",10,100,13,0.94
"14",10,100,14,0.89
"15",10,100,15,0.89
"16",10,100,16,0.89
"17",10,100,17,0.9
"18",10,100,18,0.96
"19",10,100,19,0.93
"20",10,100,20,0.89
"21",10,100,21,0.9
"22",10,100,22,0.84
"23",10,100,23,0.91
"24",10,100,24,0.88
"25",10,100,25,0.94
"26",10,100,26,0.86
"27",10,100,27,0.92
"28",10,100,28,0.92
"29",10,100,29,0.91
"30",10,100,30,0.87
"31",10,100,31,0.92
"32",10,100,32,0.88
"33",10,100,33,0.88
"34",10,100,34,0.9
"35",10,100,35,0.92
"36",10,100,36,0.93
"37",10,100,37,0.87
"38",10,100,38,0.89
"39",10,100,39,0.92
"40",10,100,40,0.84
"41",10,100,41,0.91
"42",10,100,42,0.82
"43",10,100,43,0.93
"44",10,100,44,0.88
"45",10,100,45,0.85
"46",10,100,46,0.88
"47",10,100,47,0.89
"48",10,100,48,0.93
"49",10,100,49,0.88
"50",10,100,50,0.89
"51",10,100,51,0.93
"52",10,100,52,0.98
"53",10,100,53,0.85
"54",10,100,54,0.88
"55",10,100,55,0.89
"56",10,100,56,0.85
"57",10,100,57,0.91
"58",10,100,58,0.91
"59",10,100,59,0.92
"60",10,100,60,0.92
"61",10,100,61,0.9
"62",10,100,62,0.91
"63",10,100,63,0.92
"64",10,100,64,0.94
"65",10,100,65,0.87
"66",10,100,66,0.9
"67",10,100,67,0.88
"68",10,100,68,0.92
"69",10,100,69,0.92
"70",10,100,70,0.94
"71",10,100,71,0.92
"72",10,100,72,0.94
"73",10,100,73,0.92
"74",10,100,74,0.94
"75",10,100,75,0.91
"76",10,100,76,0.9
"77",10,100,77,0.89
"78",10,100,78,0.96
"79",10,100,79,0.82
