"","Candidates","Voters","Simulation","Agreement"
"1",3,100,1,0.91
"2",3,100,2,0.89
"3",3,100,3,0.9
"4",3,100,4,0.87
"5",3,100,5,0.9
"6",3,100,6,0.87
"7",3,100,7,0.91
"8",3,100,8,0.88
"9",3,100,9,0.93
"10",3,100,10,0.89
"11",3,100,11,0.83
"12",3,100,12,0.86
"13",3,100,13,0.85
"14",3,100,14,0.88
"15",3,100,15,0.89
"16",3,100,16,0.89
"17",3,100,17,0.91
"18",3,100,18,0.93
"19",3,100,19,0.92
"20",3,100,20,0.87
"21",3,100,21,0.96
"22",3,100,22,0.9
"23",3,100,23,0.92
"24",3,100,24,0.94
"25",3,100,25,0.85
"26",3,100,26,0.9
"27",3,100,27,0.92
"28",3,100,28,0.9
"29",3,100,29,0.9
"30",3,100,30,0.9
"31",3,100,31,0.89
"32",3,100,32,0.92
"33",3,100,33,0.9
"34",3,100,34,0.92
"35",3,100,35,0.84
"36",3,100,36,0.92
"37",3,100,37,0.88
"38",3,100,38,0.89
"39",3,100,39,0.88
"40",3,100,40,0.89
"41",3,100,41,0.93
"42",3,100,42,0.94
"43",3,100,43,0.9
"44",3,100,44,0.85
"45",3,100,45,0.87
"46",3,100,46,0.87
"47",3,100,47,0.86
"48",3,100,48,0.85
"49",3,100,49,0.92
"50",3,100,50,0.9
"51",3,100,51,0.86
"52",3,100,52,0.95
"53",3,100,53,0.91
"54",3,100,54,0.84
"55",3,100,55,0.91
"56",3,100,56,0.88
"57",3,100,57,0.92
"58",3,100,58,0.87
"59",3,100,59,0.87
"60",3,100,60,0.9
"61",3,100,61,0.86
"62",3,100,62,0.89
"63",3,100,63,0.9
"64",3,100,64,0.94
"65",3,100,65,0.81
"66",3,100,66,0.96
"67",3,100,67,0.93
"68",3,100,68,0.91
"69",3,100,69,0.87
"70",3,100,70,0.91
"71",3,100,71,0.89
"72",3,100,72,0.9
"73",3,100,73,0.92
"74",3,100,74,0.89
"75",3,100,75,0.87
"76",3,100,76,0.9
"77",3,100,77,0.89
"78",3,100,78,0.91
"79",3,100,79,0.87
"80",3,100,80,0.85
"81",3,100,81,0.88
"82",3,100,82,0.95
"83",3,100,83,0.88
"84",3,100,84,0.93
"85",3,100,85,0.86
"86",3,100,86,0.85
"87",3,100,87,0.91
"88",3,100,88,0.9
"89",3,100,89,0.9
"90",3,100,90,0.91
"91",3,100,91,0.87
"92",3,100,92,0.86
"93",3,100,93,0.91
"94",3,100,94,0.92
"95",3,100,95,0.92
"96",3,100,96,0.9
"97",3,100,97,0.9
"98",3,100,98,0.93
"99",3,100,99,0.85
"100",3,100,100,0.89
"101",3,1000,1,0.93
"102",3,1000,2,0.94
"103",3,1000,3,0.91
"104",3,1000,4,0.91
"105",3,1000,5,0.97
"106",3,1000,6,0.89
"107",3,1000,7,0.95
"108",3,1000,8,0.94
"109",3,1000,9,0.92
