"","Voters","Prop1","Prop2","Simulation","Frac4Wins","Frac4Wins_Miss","Agreement"
"1",1000,0.34,0.66,1,1,0.997,0.997
"2",1000,0.35,0.65,1,1,0.985,0.985
"3",1000,0.36,0.64,1,1,0.964,0.964
"4",1000,0.37,0.63,1,1,0.905,0.905
"5",1000,0.38,0.62,1,1,0.771,0.771
"6",1000,0.39,0.61,1,1,0.614,0.614
"7",1000,0.4,0.6,1,1,0.417,0.417
"8",1000,0.41,0.59,1,1,0.236,0.236
"9",1000,0.42,0.58,1,1,0.107,0.107
"10",1000,0.43,0.57,1,1,0.036,0.036
"11",1000,0.44,0.56,1,0.999,0.008,0.009
"12",1000,0.45,0.55,1,0.999,0.002,0.003
"13",1000,0.46,0.54,1,0.99,0.002,0.012
"14",1000,0.47,0.53,1,0.958,0,0.042
"15",1000,0.48,0.52,1,0.877,0,0.123
"16",1000,0.49,0.51,1,0.716,0,0.284
"17",1000,0.5,0.5,1,0.5,0,0.5
"18",1000,0.51,0.49,1,0.281,0,0.719
"19",1000,0.52,0.48,1,0.112,0,0.888
"20",1000,0.53,0.47,1,0.033,0,0.967
"21",1000,0.54,0.46,1,0.009,0,0.991
"22",1000,0.55,0.45,1,0.003,0,0.997
"23",1000,0.56,0.44,1,0,0,1
